word,article,raw
ab,,ab
aber,,aber
abgeben,,"abgeben,"
abholen,,"abholen, holt ab,"
abschließen,,"abschließen,"
Achtung,,Achtung (Sg.)
Adresse,die,"die Adresse, -n"
Ahnung,die,"die Ahnung, -en"
aktiv,,aktiv
aktuell,,aktuell
all-,,all-
allein,,allein
als,,als
also,,also
alt,,alt
Alter,das,das Alter (Sg.)
Ampel,die,"die Ampel, -n"
an,,an
anbieten,,"anbieten,"
Angebot,das,"das Angebot, -e"
ander-,,ander-
ändern,,"ändern, ändert,"
anders,,anders
anfangen,,"anfangen,"
Anfang,der,"der Anfang, ¨-e"
Angst,die,"die Angst, ¨-e"
ankommen,,"ankommen,"
Ankunft,die,"die Ankunft, -¨e"
anmachen,,"anmachen,"
anmelden,,"anmelden (sich),"
Anmeldung,die,"die Anmeldung,-en"
Anruf-,der,der Anruf-
beantworter,,"beantworter, -"
anrufen,,"anrufen, ruft an,"
Anruf,der,"der Anruf, -e"
Anschluss,der,"der Anschluss, ¨-e"
ansehen,,"ansehen, sieht an,"
antworten,,"antworten,"
Antwort,die,"die Antwort, -en"
Anzeige,die,"die Anzeige, -n"
Anzug,der,"der Anzug, ¨-e"
Apfel,der,"der Apfel, ¨-"
Apotheke,die,"die Apotheke, -n"
Apparat,der,"der Apparat, -e"
arbeiten,,"arbeiten, arbeitet,"
Arbeit,die,"die Arbeit, -en"
arbeitslos,,arbeitslos
ärgern,,"ärgern (sich),"
arm,,arm
Arm,der,"der Arm, -e"
Artikel,der,"der Artikel, -"
auch,,auch
auf,,auf
auf jeden/keinen Fall,,auf jeden/keinen Fall
aufhören,,"aufhören,"
aufmachen,,"aufmachen,"
aufpassen,,"aufpassen,"
aufräumen,,"aufräumen,"
aufregend,,aufregend
aufstehen,,"aufstehen,"
Aufzug,der,"der Aufzug, ¨-e"
Auge,das,"das Auge, -n"
aus,,aus
Ausbildung,die,"die Ausbildung,-en"
Ausflug,der,"der Ausflug, ¨-e"
ausfüllen,,"ausfüllen,"
Ausgang,der,"der Ausgang, ¨-e"
ausgeben,,"ausgeben,"
ausgehen,,"ausgehen,"
Auskunft,die,"die Auskunft, ¨-e"
Ausland,das,das Ausland (Sg.)
ausmachen,,"ausmachen,"
auspacken,,"auspacken,"
ausruhen,,"ausruhen (sich),"
aussehen,,"aussehen,"
außer,,außer
außerdem,,außerdem
außerhalb,,außerhalb
aussprechen,,"aussprechen,"
aussteigen,,"aussteigen,"
Ausstellung,die,"die Ausstellung,-en"
austragen,,"austragen,"
Ausweis,der,"der Ausweis, -e"
Auto,das,"das Auto, -s"
Autobahn,die,"die Autobahn, -en"
Automat,der,"der Automat, -en"
automatisch,,automatisch
Baby,das,"das Baby, -s"
Babysitter,der,"der Babysitter,-"
backen,,"backen,"
Bäckerei,die,"die Bäckerei, -en"
Bad,das,"das Bad, ¨-er"
baden,,"baden, badet,"
Bahn,die,"die Bahn, -en"
Bahnhof,der,"der Bahnhof, ¨-e"
Bahnsteig,der,"der Bahnsteig, -e"
bald,,bald
Balkon,der,"der Balkon, -e"
Ball,der,"der Ball, ¨-e"
Banane,die,"die Banane, -n"
Band,die,"die Band, -s"
Bank,die,"die Bank, -en"
bar,,bar
Basketball,der,"der Basketball, ¨-e"
basteln,,"basteln, bastelt,"
Bauch,der,"der Bauch, ¨-e"
bauen,,"bauen, baut,"
Baum,der,"der Baum, ¨-e"
Baustelle,die,"die Baustelle, -n"
beantworten,,"beantworten,"
bedanken,,"bedanken (sich),"
bedeuten,,"bedeuten,"
beeilen,,"beeilen (sich),"
beenden,,"beenden,"
beginnen,,"beginnen,"
begründen,,"begründen,"
bei,,bei
beide,,beide
Bein,das,"das Bein, -e"
bekannt,,bekannt
der/die,,der/die
Bekannte,,"Bekannte, -n"
bekommen,,"bekommen,"
beliebt,,beliebt
benutzen,,"benutzen,"
bequem,,bequem
beraten,,"beraten, berät,"
Berg,der,"der Berg, -e"
berichten,,"berichten,"
Beruf,der,"der Beruf, -e"
berühmt,,berühmt
Bescheid,der,der Bescheid
beschreiben,,"beschreiben,"
beschweren,,"beschweren (sich),"
besetzt,,besetzt
besichtigen,,"besichtigen,"
besonders,,besonders
bestätigen,,"bestätigen,"
bestehen,,"bestehen,"
bestellen,,"bestellen,"
Besuch,der,"der Besuch, -e"
besuchen,,"besuchen,"
